ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
GB00BYZN9041	GBX	220	201	43705	40957	4280.974716851619	4524.257147740313	187100000	185300000
IL0010849045	GBX	62	78	451727	478384	7.393846283264007	7.023646275795177	3340000	3360000
GB0000667013	GBX	99	92	24814	22884	3935.2784718304183	4175.406397482958	97650000	95550000
FR0010361683	EUR	24	8	9528	3176	262.30058774139377	782.3992443324937	2499200	2484900
FR0010869578	EUR	0	34	0	1496	0	2406.4171122994653	0	3600000
LU0252633754	EUR	34	34	13600	10015	943.9705882352941	1274.0888666999501	12838000	12760000
LU1681047236	EUR	34	34	74800	74800	120.36096256684492	121.1096256684492	9003000	9059000
LU1834983550	EUR	18	22	2052	2508	4319.736842105263	3472.2089314194577	8864100	8708300
LU1829219390	EUR	33	33	6600	6600	1321.0454545454545	1310.7727272727273	8718900	8651100
FR0010405431	EUR	1	4	10728	42912	8.80965697240865	2.207774049217002	94510	94740
FR0010869495	EUR	34	34	1081200	1081200	0.14842767295597484	0.1471698113207547	160480	159120
FR0010655712	EUR	8	14	320	560	77578.125	44330.357142857145	24825000	24825000
GB00B635TG28	GBX	189	229	2493994	3207127	1.1387356986424186	0.8652604028465353	2840000	2775000
CH0100191136	CHF	16	19	364654	503318	0.009652986118347804	0.006953854223373693	3520	3500
CH0008038389	CHF	371	397	26170	40479	341.9946503630111	218.50836236073025	8950000	8845000
CH0024608827	CHF	1075	812	6898	3963	15076.833864888373	26015.644713600806	104000000	103100000
CH0276837694	CHF	266	231	73740	69002	22.321670735014916	23.59351902843396	1646000	1628000
CH0108503795	CHF	295	236	3117824	1873686	0.01850649683882092	0.03050137536385499	57700	57150
CH0010570767	CHF	333	306	889	894	1199100.1124859392	1167785.2348993288	1066000000	1044000000
CH0012268360	CHF	102	134	158345	189855	1.7840790678581577	1.522214321455848	282500	289000
CH0011339204	CHF	191	288	64397	96365	11.848378030032455	7.648004981061589	763000	737000
GB0009292243	GBX	214	163	31644	32505	5941.094678296044	5756.037532687279	188000000	187100000
GB0009039941	GBX	191	106	247182	230881	39.485075774125946	41.081769396355696	9760000	9485000
GB0004726096	GBX	171	176	180972	174581	152.06772318369693	155.57248497831952	27520000	27160000
IE00B1RR8406	GBX	1381	1226	193795	152714	1660.5175572125183	2068.5726259543985	321800000	315900000
GB00B572ZV91	GBX	104	128	1021208	1071340	2.4382887717291677	2.2775216084529655	2490000	2440000
GB0007990962	GBX	143	128	63862	65493	760.0764147693465	728.6274869069977	48540000	47720000
AU000000S320	GBX	116	178	214144	213367	110.67319187089062	110.13886870978173	23700000	23500000
GB00B082RF11	GBX	961	929	503213	459804	106.078340583411	115.52748562430949	53380000	53120000
GB00BVFNZH21	GBX	247	247	188220	251454	141.21772394007013	104.67123211402483	26580000	26320000
GB00B0WMWD03	GBX	279	290	219164	225401	167.08948549944333	159.18296724504327	36620000	35880000
IM00B7S9G985	GBX	145	121	66809	113115	725.6507356793246	421.5179242363966	48480000	47680000
GB00B7N0K053	GBX	85	125	211470	210905	55.23242067432733	55.285555107749936	11680000	11660000
GB00B3MBS747	GBX	1339	1140	343940	295503	272.7219863929755	311.87500634511326	93800000	92160000
GB00B17BBQ50	GBX	254	254	161043	159067	291.2886620343635	289.3120508967919	46910000	46020000
GB00B06QFB75	GBX	264	266	132017	130286	635.9029518925593	638.9788618884608	83950000	83250000
GB00BYT1DJ19	GBX	1000	898	170037	138056	919.7998082770221	1113.3163354001274	156400000	153700000
GB0005576813	GBX	974	1066	337631	387954	201.04788955990415	173.31951726235584	67880000	67240000
GB0004478896	GBX	143	199	148272	218692	155.12031941297076	104.02758217035831	23000000	22750000
GB0004052071	GBX	873	886	113938	117221	1999.3329705629378	1919.4512928570819	227800000	225000000
GB0004161021	GBX	757	249	848352	567119	14.722662291124438	21.864899606608137	12490000	12400000
GB00B63QSB39	GBX	265	214	51137	42647	4071.4160001564424	4863.179121626375	208200000	207400000
IE0003864109	GBX	131	174	303258	323116	33.37092508688971	31.134329466816872	10120000	10060000
JE00B55Q3P39	GBX	170	155	287575	245212	48.682952273320005	56.52251928943119	14000000	13860000
GB0003452173	GBX	254	244	424803	611145	30.531799445860788	20.960655818177354	12970000	12810000
GB00B0744359	GBX	181	157	147021	132329	168.68338536671632	184.01106333456764	24800000	24350000
GB0006886666	GBX	269	141	143050	47683	1016.4278224397063	3049.3047836755236	145400000	145400000
GB00BYN59130	GBX	168	150	119675	142045	229.45477334447463	192.75581681861382	27460000	27380000
GB00BD6GN030	GBX	223	352	279974	407992	56.648117325180195	38.66497382301614	15860000	15775000
GB00B8VZXT93	GBX	156	141	90553	99944	308.3277196779786	276.15464660209716	27920000	27600000
GB00B15FWH70	GBX	134	151	2097656	1518735	1.020663063915151	1.359025768155735	2141000	2064000
JE00B5TT1872	GBX	103	202	397823	539098	23.93024033301242	17.098931919613875	9520000	9218000
GB0007668071	GBX	181	205	51605	47500	2218.777250266447	2397.8947368421054	114500000	113900000
GB0001859296	GBX	259	191	90161	82024	1004.3145040538592	1093.5823661367406	90550000	89700000
GB00B0N8QD54	GBX	222	170	107599	68226	800.6579986802851	1248.7907835722451	86150000	85200000
GB00B11V7W98	GBX	100	135	17078	30151	5855.486590935707	3316.639580776757	100000000	100000000
FI0009003230	EUR	33	0	2308746	0	0.016892286981764128	0	39000	0
DE0007664005	EUR	0	34	0	3536	0	6891.968325791855	0	24370000
DE000SHA0159	EUR	68	0	10982	0	45.98433800764888	0	505000	0
DE0006204407	EUR	0	34	0	374	0	23930.48128342246	0	8950000
DE000A0LD2U1	EUR	34	0	1887	0	651.8282988871224	0	1230000	0
ES0105066007	EUR	0	34	0	170	0	32705.882352941175	0	5560000
DE000A1ML7J1	EUR	0	68	0	986	0	3896.551724137931	0	3842000
AT0000A18XM4	CHF	242	304	119792	199897	7.003806598103379	4.083102797940939	839000	816200
CH0023405456	CHF	349	287	32959	48789	124.48800024272582	82.94902539506856	4103000	4047000
GB00B61TVQ02	GBX	260	302	82100	71050	1013.3982947624847	1165.3764954257565	83200000	82800000
BMG396372051	NOK	108	48	81600	36000	134.25245098039215	302.0833333333333	10955000	10875000
FI4000074984	EUR	33	0	957	0	2089.864158829676	0	2000000	0
GB00BRS65X63	GBX	326	274	267566	237437	114.43905428940897	127.61279834229711	30620000	30300000
DE000TUAG000	GBX	186	164	489421	440694	31.629210843016544	34.218754963761704	15480000	15080000
